Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,0.88,-0.02,0.88,-0.20,0.00
0.015994,0.88,-0.02,0.88,-0.10,0.00
0.039981,0.89,-0.03,0.89,0.00,0.00
0.063488,0.88,-0.02,0.88,-0.50,0.00
0.089121,0.88,-0.02,0.88,-0.20,0.00
1.594043,0.88,-0.01,0.88,-0.10,0.00
2.597468,0.88,-0.04,0.88,-0.10,0.00
3.605892,0.88,-0.01,0.88,-0.40,0.00
4.613314,0.88,-0.02,0.88,-0.40,0.00
5.61674,0.88,0.00,0.88,-0.10,0.00
6.624163,0.88,-0.01,0.88,-0.40,0.00
7.627588,0.88,-0.01,0.88,-0.40,0.00
8.635012,0.88,-0.02,0.88,-0.10,0.00
9.638437,0.88,-0.02,0.88,-0.50,0.00
10.64586,0.88,-0.03,0.88,-0.40,0.00
11.650285,0.88,-0.03,0.88,-0.20,0.00
12.657709,0.88,-0.02,0.88,-0.10,0.00
13.665132,0.88,-0.02,0.88,-0.30,0.00
14.66856,0.88,-0.03,0.88,-0.30,0.00
15.675981,0.88,-0.02,0.88,-0.20,0.00
16.679406,0.88,-0.05,0.88,-0.30,0.00
17.686829,0.88,-0.04,0.88,-0.50,0.00
18.690255,0.88,-0.02,0.88,-0.30,0.00
19.697679,0.88,-0.03,0.88,0.00,0.00
20.702104,0.88,-0.02,0.88,-0.20,0.00
21.709527,0.88,-0.03,0.88,-0.40,0.00
22.71695,0.88,-0.03,0.88,-0.20,0.00
23.720375,0.88,-0.02,0.88,-0.20,0.00
24.727799,0.89,-0.02,0.89,-0.30,0.00
25.731224,0.89,-0.01,0.89,-0.10,0.00
26.738647,0.88,-0.04,0.88,-0.30,0.00
27.742073,0.88,-0.02,0.88,-0.30,0.00
28.749496,0.88,-0.02,0.88,-0.10,0.00
29.75392,0.88,0.01,0.88,-0.40,0.00
30.761345,0.89,-0.03,0.89,-0.30,0.00
31.768871,0.88,-0.03,0.88,-0.40,0.00
32.772194,0.88,-0.04,0.88,-0.40,0.00
33.779616,0.88,-0.02,0.88,-0.10,0.00
34.783042,0.88,-0.03,0.88,-0.40,0.00
35.790465,0.88,-0.04,0.88,-0.10,0.00
36.79389,0.88,-0.04,0.88,-0.10,0.00
37.801313,0.88,-0.01,0.88,-0.10,0.00
38.805738,0.88,-0.04,0.88,-0.20,0.00
39.813161,0.88,-0.02,0.88,-0.30,0.00
40.820584,0.88,-0.01,0.88,-0.20,0.00
41.82401,0.88,-0.03,0.88,-0.20,0.00
42.831434,0.88,-0.02,0.88,-0.10,0.00
43.83486,0.88,-0.04,0.88,-0.50,0.00
44.842283,0.88,-0.01,0.88,-0.10,0.00
45.845708,0.89,0.00,0.89,-0.40,0.00
46.853132,0.88,0.00,0.88,-0.30,0.00
47.857652,0.88,-0.02,0.88,-0.20,0.00
48.865173,0.88,-0.02,0.88,0.00,0.00
49.871706,0.88,-0.04,0.88,-0.40,0.00
50.876131,0.88,0.00,0.88,-0.20,0.00
51.883554,0.88,-0.05,0.88,-0.40,0.00
52.886979,0.88,-0.03,0.88,-0.10,0.00
53.894403,0.88,-0.03,0.88,0.00,0.00
54.89783,0.88,-0.04,0.88,-0.30,0.00
55.905252,0.88,-0.02,0.88,-0.10,0.00
56.908677,0.89,-0.03,0.89,-0.10,0.00
57.9171,0.88,-0.02,0.88,-0.20,0.00
58.924523,0.88,-0.04,0.88,-0.30,0.00
59.92795,0.88,-0.01,0.88,-0.20,0.00
