Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,0.88,-0.01,0.88,-0.40,0.00
1.003421,0.88,-0.02,0.88,-0.40,0.00
2.011118,0.88,-0.02,0.88,-0.20,0.00
3.014901,0.88,-0.03,0.88,-0.40,0.00
4.022529,0.88,-0.03,0.88,-0.20,0.00
5.026129,0.88,-0.03,0.88,-0.20,0.00
6.033542,0.88,-0.01,0.88,-0.30,0.00
7.041033,0.88,-0.02,0.88,-0.30,0.00
8.044395,0.88,-0.02,0.88,-0.30,0.00
9.051548,0.88,-0.03,0.88,-0.40,0.00
10.056204,0.88,-0.04,0.88,-0.40,0.00
11.063258,0.88,-0.03,0.88,-0.20,0.00
12.067001,0.88,0.00,0.88,-0.50,0.00
13.0743,0.88,-0.02,0.88,-0.10,0.00
14.077336,0.88,-0.04,0.88,-0.40,0.00
15.085433,0.88,-0.05,0.88,-0.30,0.00
16.092169,0.88,-0.03,0.88,-0.40,0.00
17.095936,0.88,-0.04,0.88,-0.30,0.00
18.103967,0.88,-0.01,0.88,-0.30,0.00
19.107523,0.88,-0.04,0.88,-0.40,0.00
20.11483,0.88,0.00,0.88,-0.20,0.00
21.118525,0.88,-0.04,0.88,-0.50,0.00
22.125401,0.88,-0.02,0.88,-0.10,0.00
23.133701,0.88,-0.02,0.88,-0.50,0.00
24.136687,0.88,-0.03,0.88,-0.30,0.00
25.140694,0.88,0.00,0.88,-0.20,0.00
26.148285,0.88,-0.04,0.88,-0.50,0.00
27.155813,0.88,-0.01,0.88,-0.10,0.00
28.15936,0.88,0.00,0.88,-0.20,0.00
29.166384,0.88,-0.03,0.88,-0.30,0.00
30.170152,0.88,-0.01,0.88,-0.50,0.00
31.177894,0.88,-0.03,0.88,-0.20,0.00
32.185312,0.88,-0.02,0.88,-0.50,0.00
33.189056,0.88,-0.01,0.88,-0.10,0.00
34.196334,0.88,-0.05,0.88,-0.30,0.00
35.199629,0.88,-0.04,0.88,-0.20,0.00
36.207706,0.88,-0.02,0.88,-0.50,0.00
37.21151,0.88,-0.04,0.88,-0.30,0.00
38.218472,0.88,-0.04,0.88,-0.10,0.00
39.221891,0.88,-0.02,0.88,-0.30,0.00
40.229617,0.88,-0.02,0.88,-0.40,0.00
41.240182,0.88,-0.04,0.88,-0.40,0.00
42.24064,0.88,-0.02,0.88,-0.20,0.00
43.247948,0.88,-0.02,0.88,-0.30,0.00
44.81759,0.88,-0.02,0.88,-0.40,0.00
45.264813,0.88,-0.04,0.88,-0.70,0.00
46.262497,0.88,-0.03,0.88,-0.30,0.00
47.270647,0.88,-0.02,0.88,-0.20,0.00
48.278013,0.88,-0.03,0.88,-0.20,0.00
49.281979,0.88,-0.02,0.88,-0.10,0.00
50.288994,0.88,-0.03,0.88,-0.30,0.00
51.292977,0.88,-0.02,0.88,-0.40,0.00
52.299802,0.88,-0.03,0.88,-0.20,0.00
53.303822,0.88,-0.02,0.88,-0.30,0.00
54.311384,0.89,-0.03,0.89,-0.30,0.00
55.314575,0.88,-0.04,0.88,-0.10,0.00
56.321888,0.88,-0.04,0.88,-0.30,0.00
57.330046,0.89,-0.03,0.89,-0.30,0.00
58.33359,0.88,-0.04,0.88,-0.50,0.00
