Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
562.283412,0.03,-0.02,0.03,-0.40,0.00
563.289095,0.03,-0.03,0.03,-0.30,0.00
572.210803,0.03,-0.03,0.03,-0.40,0.00
572.237788,0.03,-0.03,0.03,0.00,0.00
572.283762,0.02,0.00,0.02,-0.30,0.00
572.32174,0.03,-0.04,0.03,-0.40,0.00
572.453622,0.03,-0.01,0.03,-0.10,0.00
572.587544,0.03,-0.02,0.03,-0.10,0.00
572.82192,0.03,-0.04,0.03,0.00,0.00
573.022898,0.02,-0.02,0.02,0.00,0.00
573.177815,0.03,-0.04,0.03,0.10,0.00
573.347715,0.03,-0.03,0.03,-0.10,0.00
574.35052,0.03,-0.02,0.03,-0.30,0.00
575.357994,0.03,-0.01,0.03,-0.10,0.00
576.365094,0.03,-0.02,0.03,-0.10,0.00
577.368511,0.03,-0.01,0.03,0.10,0.00
578.376803,0.02,-0.02,0.02,-0.30,0.00
579.380289,0.03,-0.03,0.03,-0.20,0.00
580.387258,0.03,-0.02,0.03,-0.40,0.00
581.390894,0.03,-0.04,0.03,-0.20,0.00
582.399288,0.03,-0.04,0.03,-0.20,0.00
583.402407,0.03,-0.06,0.03,-0.20,0.00
584.410062,0.02,-0.03,0.02,0.00,0.00
585.417457,0.03,-0.02,0.03,-0.30,0.00
586.420884,0.02,-0.04,0.02,-0.10,0.00
587.428384,0.03,-0.03,0.03,-0.30,0.00
588.432045,0.03,-0.02,0.03,-0.40,0.00
589.439287,0.03,-0.03,0.03,-0.30,0.00
590.443281,0.03,-0.04,0.03,-0.10,0.00
591.450791,0.03,-0.02,0.03,-0.10,0.00
592.454276,0.03,-0.04,0.03,-0.20,0.00
593.461427,0.03,-0.02,0.03,-0.30,0.00
594.46908,0.03,-0.02,0.03,-0.20,0.00
595.472924,0.03,-0.01,0.03,0.00,0.00
596.480526,0.03,-0.02,0.03,-0.20,0.00
597.483495,0.03,-0.01,0.03,0.10,0.00
598.491077,0.03,-0.04,0.03,-0.20,0.00
