Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,25.11,0.06,25.11,0.30,6.00
1.007117,25.11,0.07,25.11,0.40,6.00
2.014939,25.11,0.04,25.11,0.70,16.00
3.01848,25.11,0.09,25.11,0.80,20.00
4.025993,25.11,0.07,25.11,0.30,16.00
5.033294,25.11,0.06,25.11,0.60,16.00
6.03646,25.11,0.06,25.11,0.40,10.00
7.044888,25.11,0.04,25.11,0.30,16.00
8.048061,25.11,0.06,25.11,0.40,10.00
9.055991,25.11,0.08,25.11,0.60,16.00
11.96231,25.11,0.01,25.11,-0.30,4.00
11.986296,25.11,0.05,25.11,0.60,16.00
12.074253,25.11,0.06,25.11,0.70,16.00
13.077232,25.11,0.06,25.11,0.70,22.00
14.085566,25.11,0.06,25.11,0.60,16.00
15.092433,25.11,0.07,25.11,0.60,16.00
16.096307,25.11,0.07,25.11,0.60,14.00
17.104068,25.11,0.06,25.11,0.40,6.00
18.107728,25.11,0.06,25.11,0.70,16.00
19.115274,25.11,0.03,25.11,0.50,14.00
20.122082,25.11,0.08,25.11,0.80,16.00
21.127402,25.11,0.00,25.11,0.00,0.00
22.133264,25.11,0.01,25.11,0.00,0.00
23.137403,25.11,0.00,25.11,0.20,6.00
24.145001,25.11,0.02,25.11,0.10,4.00
25.152574,25.11,-0.03,25.11,0.00,4.00
26.155594,25.11,0.01,25.11,0.00,0.00
27.159326,25.11,0.00,25.11,0.10,0.00
28.167215,25.11,0.00,25.11,0.10,4.00
29.174177,25.11,0.04,25.11,0.10,4.00
30.178056,25.11,0.02,25.11,0.10,0.00
31.185807,25.11,0.01,25.11,0.10,4.00
32.193239,25.11,0.02,25.11,-0.10,4.00
33.196778,25.12,0.01,25.12,0.20,6.00
34.204348,25.11,0.02,25.11,0.10,4.00
35.216522,25.11,-0.01,25.11,0.00,4.00
36.215277,25.11,0.02,25.11,0.20,4.00
37.218655,25.11,0.01,25.11,0.00,0.00
38.226785,25.11,-0.01,25.11,-0.10,4.00
39.229996,25.12,0.00,25.12,0.10,4.00
40.237265,25.12,0.00,25.12,0.20,6.00
41.244618,25.11,0.01,25.11,0.20,4.00
42.248743,25.11,-0.01,25.11,0.00,0.00
43.263923,25.11,-0.01,25.11,-0.10,0.00
44.259499,25.11,0.02,25.11,0.10,0.00
45.266589,25.11,0.03,25.11,0.00,0.00
46.274327,25.12,0.00,25.12,0.20,4.00
47.27843,25.11,0.02,25.11,0.10,4.00
48.285726,25.11,0.01,25.11,0.00,0.00
49.289237,25.12,0.02,25.12,0.10,6.00
50.297052,25.12,0.01,25.12,0.20,6.00
51.301209,25.12,0.02,25.12,0.20,0.00
52.308085,25.12,0.03,25.12,0.00,0.00
53.31562,25.12,0.00,25.12,0.10,4.00
54.318513,25.11,0.00,25.11,0.30,4.00
55.326706,25.12,0.01,25.12,0.00,0.00
56.330266,25.12,0.00,25.12,0.20,4.00
57.337357,25.12,0.02,25.12,-0.20,6.00
58.345353,25.12,-0.02,25.12,0.20,6.00
