Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,25.12,0.00,25.12,-0.10,4.00
1.004005,25.12,0.02,25.12,0.00,0.00
2.011745,25.12,0.00,25.12,-0.10,4.00
3.014945,25.12,0.02,25.12,-0.20,6.00
4.021889,25.12,0.03,25.12,0.20,6.00
5.030026,25.12,0.03,25.12,-0.10,6.00
6.033068,25.12,0.00,25.12,0.20,6.00
7.041168,25.12,0.00,25.12,-0.10,4.00
8.044631,25.12,0.01,25.12,0.30,6.00
9.052242,25.12,-0.02,25.12,-0.10,4.00
10.059437,25.12,-0.01,25.12,0.00,4.00
11.063776,25.12,0.00,25.12,0.10,4.00
12.066778,25.12,0.00,25.12,0.10,4.00
13.074678,25.12,0.00,25.12,0.10,0.00
14.081934,25.12,0.04,25.12,0.20,6.00
15.085753,25.12,0.01,25.12,0.00,4.00
16.092487,25.12,0.02,25.12,0.30,6.00
17.096712,25.12,0.00,25.12,0.10,4.00
18.103996,25.12,0.00,25.12,0.30,6.00
19.10697,25.12,0.02,25.12,0.20,6.00
20.115322,25.12,0.04,25.12,0.60,20.00
21.122746,25.12,0.06,25.12,0.50,16.00
22.126453,25.12,0.08,25.12,0.30,6.00
24.755407,25.12,0.06,25.12,0.50,16.00
24.80238,25.12,0.04,25.12,0.60,10.00
25.145183,25.12,0.06,25.12,0.60,16.00
26.152318,25.12,0.05,25.12,0.60,20.00
27.160067,25.12,0.07,25.12,0.50,16.00
28.163685,25.12,0.06,25.12,0.60,16.00
29.171081,25.12,0.03,25.12,0.80,14.00
30.174602,25.12,0.00,25.12,0.20,6.00
31.182137,25.12,0.05,25.12,0.60,16.00
32.186113,25.12,0.07,25.12,0.50,16.00
33.192553,25.12,0.08,25.12,0.70,22.00
34.200191,25.12,0.06,25.12,0.60,16.00
35.20436,25.12,0.06,25.12,0.80,14.00
36.211916,25.12,0.04,25.12,0.70,16.00
37.215895,25.12,0.06,25.12,0.50,14.00
38.222855,25.12,0.05,25.12,0.70,16.00
39.229933,25.12,0.05,25.12,0.20,16.00
40.233726,25.12,0.05,25.12,0.50,14.00
41.24098,25.12,0.01,25.12,0.00,0.00
42.245047,25.12,0.00,25.12,0.00,0.00
43.252619,25.12,0.00,25.12,0.00,0.00
44.256181,25.12,0.01,25.12,0.30,4.00
45.263532,25.12,0.00,25.12,-0.30,6.00
46.267177,25.12,0.00,25.12,0.10,4.00
47.274889,25.12,0.03,25.12,-0.20,4.00
48.281783,25.12,-0.02,25.12,0.20,6.00
49.285422,25.12,0.04,25.12,0.00,0.00
50.293098,25.12,0.02,25.12,0.10,4.00
51.296445,25.12,0.02,25.12,0.10,4.00
52.304669,25.12,0.00,25.12,0.20,0.00
53.312033,25.12,0.01,25.12,0.30,6.00
54.316651,25.12,-0.01,25.12,0.10,6.00
55.322249,25.12,0.00,25.12,0.10,4.00
56.326872,25.12,0.01,25.12,0.00,0.00
57.33421,25.12,0.00,25.12,0.00,6.00
58.341312,25.12,0.01,25.12,0.50,14.00
