Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,25.16,-0.02,25.16,0.10,4.00
1.006941,25.15,0.01,25.15,0.00,6.00
2.010368,25.16,0.00,25.16,0.10,4.00
3.017823,25.16,0.01,25.16,0.00,0.00
4.025277,25.16,0.01,25.16,-0.10,6.00
5.028776,25.16,0.02,25.16,0.10,4.00
6.036194,25.16,0.01,25.16,0.00,6.00
7.040618,25.16,-0.01,25.16,0.10,4.00
8.047124,25.16,0.02,25.16,0.30,6.00
9.054948,25.16,-0.01,25.16,0.10,0.00
10.058309,25.15,0.09,25.15,0.40,10.00
11.065662,25.16,0.02,25.16,0.50,14.00
14.504461,25.16,0.07,25.16,0.60,14.00
14.549075,25.15,0.08,25.15,0.50,14.00
14.676496,25.16,0.08,25.16,0.70,20.00
15.088786,25.16,0.05,25.16,0.50,20.00
16.095334,25.16,0.08,25.16,0.70,16.00
17.099887,25.16,0.07,25.16,0.60,16.00
18.106629,25.16,0.08,25.16,0.60,6.00
19.114594,25.15,0.05,25.15,0.60,16.00
20.118363,25.15,0.03,25.15,0.00,4.00
21.125962,25.15,0.06,25.15,0.70,16.00
22.129067,25.16,0.09,25.16,0.70,16.00
23.137181,25.16,0.09,25.16,0.80,22.00
24.139989,25.16,0.07,25.16,0.60,16.00
25.147668,25.16,0.06,25.16,0.50,14.00
26.155638,25.15,0.05,25.15,0.40,16.00
27.159073,25.15,0.07,25.15,0.30,6.00
28.166911,25.16,0.06,25.16,0.80,20.00
29.170259,25.15,0.07,25.15,0.60,16.00
30.177734,25.16,0.05,25.16,0.60,16.00
31.181296,25.16,0.01,25.16,0.10,4.00
32.188883,25.16,0.02,25.16,0.20,6.00
33.195606,25.16,0.01,25.16,0.00,0.00
34.199927,25.16,-0.03,25.16,0.00,4.00
35.207476,25.15,0.02,25.15,0.20,6.00
36.215048,25.16,0.00,25.16,-0.10,4.00
37.218736,25.16,0.01,25.16,0.00,6.00
38.225917,25.16,0.00,25.16,0.10,4.00
39.229613,25.16,0.03,25.16,0.10,0.00
40.237149,25.16,0.02,25.16,0.00,0.00
41.240524,25.16,-0.01,25.16,0.20,6.00
42.248096,25.16,0.01,25.16,0.00,6.00
43.255367,25.16,0.00,25.16,-0.10,4.00
44.258718,25.16,-0.01,25.16,0.10,4.00
45.266872,25.16,0.01,25.16,0.10,4.00
46.276666,25.16,0.00,25.16,0.20,6.00
47.278065,25.16,0.01,25.16,0.10,0.00
48.285531,25.16,-0.01,25.16,-0.10,4.00
49.288942,25.16,0.00,25.16,0.10,4.00
50.296113,25.16,-0.01,25.16,0.00,0.00
51.300812,25.16,0.01,25.16,0.10,4.00
52.307645,25.16,0.00,25.16,-0.10,0.00
53.310963,25.16,-0.01,25.16,0.00,0.00
54.319023,25.16,0.00,25.16,0.10,4.00
55.326367,25.16,-0.01,25.16,0.10,4.00
56.330788,25.15,-0.01,25.15,-0.10,4.00
57.33739,25.16,0.05,25.16,0.30,6.00
58.340953,25.15,0.00,25.15,0.20,6.00
