Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,25.14,0.01,25.14,-0.10,0.00
1.007434,25.15,0.02,25.15,0.10,4.00
2.01084,25.15,0.02,25.15,0.00,0.00
3.018255,25.15,0.01,25.15,0.20,0.00
4.02583,25.15,0.00,25.15,0.00,0.00
5.029286,25.15,0.00,25.15,0.20,4.00
6.036953,25.15,0.01,25.15,0.00,0.00
7.043805,25.15,-0.01,25.15,0.20,0.00
8.047849,25.15,0.01,25.15,-0.10,4.00
9.055264,25.15,0.01,25.15,-0.20,6.00
10.058687,25.15,0.02,25.15,0.30,6.00
11.06598,25.15,0.02,25.15,-0.10,4.00
12.070397,25.15,0.01,25.15,-0.10,4.00
14.909055,25.14,0.02,25.14,0.20,0.00
14.985015,25.15,0.00,25.15,0.10,4.00
15.088952,25.15,0.00,25.15,0.00,6.00
16.096169,25.15,0.01,25.15,-0.10,4.00
17.099773,25.15,0.00,25.15,0.20,6.00
18.107268,25.14,0.00,25.14,0.20,0.00
19.110332,25.14,0.00,25.14,0.00,0.00
20.118478,25.15,0.03,25.15,0.10,0.00
21.126052,25.15,-0.02,25.15,0.00,0.00
22.129046,25.14,0.07,25.14,0.50,16.00
23.137121,25.15,0.06,25.15,0.50,14.00
24.1407,25.15,0.06,25.15,0.90,22.00
25.148206,25.14,0.03,25.14,0.60,26.00
26.155762,25.15,0.07,25.15,0.60,14.00
27.158731,25.14,0.07,25.14,0.70,16.00
28.166543,25.15,0.08,25.15,0.60,14.00
29.170493,25.15,0.06,25.15,0.80,26.00
30.177923,25.14,0.06,25.14,0.60,16.00
31.184902,25.14,0.07,25.14,0.80,22.00
32.188982,25.15,-0.01,25.15,0.20,0.00
33.196903,25.15,-0.01,25.15,0.00,0.00
34.20022,25.15,0.03,25.15,-0.10,0.00
35.20756,25.15,0.00,25.15,0.10,4.00
36.215365,25.15,-0.01,25.15,-0.10,0.00
37.218402,25.15,0.07,25.15,0.70,16.00
38.222434,25.15,0.10,25.15,0.30,6.00
39.229864,25.15,0.07,25.15,0.60,16.00
40.237348,25.14,0.08,25.14,0.70,20.00
41.244212,25.14,0.07,25.14,0.80,20.00
42.24877,25.15,0.06,25.15,0.70,20.00
43.255471,25.15,0.07,25.15,0.50,14.00
44.259522,25.15,0.09,25.15,0.50,14.00
45.267045,25.14,0.06,25.14,0.90,16.00
46.274373,25.14,0.09,25.14,0.70,16.00
47.277937,25.15,0.02,25.15,0.10,4.00
48.285325,25.15,0.02,25.15,-0.10,14.00
49.288818,25.15,0.04,25.15,-0.10,4.00
50.29707,25.15,0.00,25.15,-0.10,4.00
51.300227,25.15,0.04,25.15,0.10,4.00
52.308319,25.15,0.01,25.15,-0.10,4.00
53.310893,25.15,0.00,25.15,0.20,0.00
54.318823,25.15,-0.01,25.15,0.00,0.00
55.326419,25.15,-0.01,25.15,0.10,4.00
56.329893,25.15,0.04,25.15,-0.10,4.00
57.337427,25.15,0.02,25.15,0.20,6.00
58.344685,25.15,0.02,25.15,-0.20,4.00
