Time (m:s:mu_s):,Bus Voltage (V):,Shunt Voltage (mV):,Load Voltage (V):,Current (mA):,Power (mW):
0.0,25.15,0.01,25.15,0.20,6.00
1.007399,25.15,0.02,25.15,0.10,4.00
2.015607,25.15,0.01,25.15,-0.10,4.00
3.019261,25.15,0.01,25.15,0.00,0.00
4.025957,25.15,0.01,25.15,0.10,4.00
5.030319,25.15,0.03,25.15,0.10,4.00
6.037924,25.15,0.04,25.15,0.10,0.00
7.045377,25.15,-0.01,25.15,-0.40,10.00
8.048879,25.15,-0.01,25.15,0.00,0.00
9.056314,25.15,0.03,25.15,-0.10,0.00
10.060079,25.15,-0.01,25.15,0.10,4.00
11.067153,25.15,-0.01,25.15,0.00,4.00
12.071153,25.15,0.00,25.15,0.00,0.00
13.078733,25.15,0.02,25.15,0.10,4.00
14.085624,25.15,0.08,25.15,0.90,20.00
15.090068,25.15,0.11,25.15,1.00,26.00
16.09744,25.14,0.08,25.14,1.10,26.00
17.100616,25.15,0.09,25.15,0.70,26.00
18.108565,25.15,0.10,25.15,1.10,26.00
19.115284,25.15,0.10,25.15,0.90,22.00
20.119448,25.15,0.11,25.15,0.70,26.00
21.127266,25.15,0.11,25.15,1.00,26.00
22.130512,25.15,0.10,25.15,0.50,14.00
23.137602,25.15,0.11,25.15,1.00,20.00
24.141467,25.15,0.02,25.15,0.00,0.00
25.149214,25.15,0.07,25.15,1.10,26.00
26.156196,25.15,0.11,25.15,1.00,22.00
27.159819,25.15,0.12,25.15,1.10,26.00
28.167512,25.14,0.09,25.14,1.00,26.00
29.175326,25.15,0.10,25.15,0.90,26.00
30.178873,25.15,0.10,25.15,1.20,30.00
31.186226,25.15,0.10,25.15,1.30,30.00
32.190237,25.15,0.14,25.15,1.20,26.00
33.198231,25.15,0.11,25.15,0.90,22.00
34.205084,25.15,0.11,25.15,1.20,30.00
35.208587,25.15,0.01,25.15,-0.10,6.00
36.216167,25.15,0.02,25.15,0.00,0.00
37.21926,25.15,0.02,25.15,-0.30,6.00
38.227136,25.15,-0.02,25.15,0.00,0.00
39.230803,25.15,0.01,25.15,0.20,6.00
40.237591,25.15,0.03,25.15,0.00,6.00
41.241729,25.15,0.03,25.15,0.00,0.00
42.249355,25.15,0.01,25.15,0.20,4.00
43.257284,25.15,-0.01,25.15,0.00,0.00
44.260162,25.15,0.00,25.15,0.20,6.00
45.267987,25.15,0.00,25.15,0.10,4.00
46.271515,25.15,0.02,25.15,0.10,4.00
47.279075,25.15,-0.03,25.15,0.20,0.00
48.28605,25.15,0.00,25.15,-0.20,6.00
49.290211,25.15,-0.01,25.15,0.00,0.00
50.297633,25.15,-0.01,25.15,0.30,4.00
51.301029,25.15,-0.01,25.15,0.00,0.00
54.217538,25.15,-0.02,25.15,0.10,6.00
54.358494,25.14,-0.02,25.14,0.00,0.00
54.859771,25.15,-0.01,25.15,0.10,4.00
55.327503,25.15,-0.01,25.15,0.00,0.00
56.330414,25.15,0.01,25.15,-0.10,4.00
57.337856,25.15,0.02,25.15,0.10,4.00
58.345588,25.15,0.02,25.15,-0.20,6.00
